;codigo_fundo;setor;preco_atual;liquidez_diaria;dividendo;dy;dy_3_acumulado;dy_6_acumulado;dy_12_acumulado;dy_3_media;dy_6_media;dy_12_media;dy_ano;variacao_preco;rentabilidade_periodo;rentabilidade_acumulada;patrimonio_liquido;vpa;p_vpa;dy_patrimonial;variacao_patrimonial;rentabilidade_patrimonial_periodo;rentabilidade_patrimonial_acumulada;vacancia_fisica;vacancia_financeira;quantidade_ativos
0;FIVN11;Shoppings;R$ 3,49;6466.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 65.491.905,42;R$ 6,96;50.0;;;;;56,00%;;1
1;BZLI11;Títulos e Val. Mob.;R$ 16,01;1.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 433.169.275,63;R$ 10,54;152.0;;;;;;;0
2;XTED11;Lajes Corporativas;R$ 8,80;3271.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 27.744.771,31;R$ 13,29;66.0;;;;;0,00%;100,00%;1
3;ALMI11;Lajes Corporativas;R$ 916,02;121.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 250.321.687,81;R$ 2.251,56;41.0;;;;;64,05%;;1
4;PABY11;Híbrido;R$ 23,37;3237.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19,84%;-19,84%;-31,62%;R$ -11.662.557,74;R$ -15,38;-152.0;;;;;;;1
5;ORPD11;Títulos e Val. Mob.;R$ 93,00;3.0;R$ 1,38;;;;;;;;;;;;R$ 43.104.334,23;R$ 148,64;63.0;;;;;;;0
6;GSFI11;Shoppings;R$ 5,00;334.0;R$ 0,00;0,03%;0,03%;0,03%;0,03%;0,01%;0,00%;0,00%;0,03%;0,00%;0,03%;0,03%;R$ 1.019.966.356,27;R$ 13,56;37.0;;;;;10,30%;;10
7;NEWU11;Lajes Corporativas;R$ 40,63;100.0;R$ 0,00;0,00%;0,00%;0,56%;16,63%;0,00%;0,09%;1,39%;0,61%;-4,04%;-4,04%;-31,62%;R$ 48.318.961,55;R$ 65,12;62.0;;;;;63,20%;;3
8;PRSV11;Lajes Corporativas;R$ 142,00;14.0;R$ 1,62;0,42%;1,53%;2,91%;5,95%;0,51%;0,48%;0,50%;4,46%;5,30%;5,74%;-11,25%;R$ 47.509.273,51;R$ 243,64;58.0;;;;;40,90%;;2
9;FAMB11B;Lajes Corporativas;R$ 773,00;2817.0;R$ 9,16;0,56%;2,17%;4,78%;10,43%;0,72%;0,80%;0,87%;8,82%;-47,80%;-47,51%;-47,80%;R$ 317.894.808,56;R$ 3.033,35;25.0;;;;;100,00%;;1
